4kLUm6dYdq,BELASTUNG STUFEI,Productivity_Change,Gender,neighborhood,Number_of_Virtual_Meetings,Work_Location,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Work_Life_Balance_Rating,Zugang zu Ressourcen für psychische Gesundheit
Consulting,Me.,Increase,Non-binary,South America,3,Remote,38,3,45,1,No
Retail,High,No Change,Non-binary,No.Ameri.,7,Hybrid,36,1,24,4,Ye.
Retail,Low,Decrease,Prefer not to say,South America,2,Hybrid,33,1,44,4,No
Finance,Low,No Change,Male,Asia,10,Hybrid,81,5,55,5,No
Education,Medium,No Change,Non-binary,Oceania,1,Onsite,44,5,25,5,No
Manufacturing,Low,No Change,Non-binary,Africa,10,Remote,22,1,30,5,Yes
Education,High,Increase,Female,North America,15,Onsite,32,3,35,4,Yes
Consulting,Medium,Increase,Male,Europe,5,Onsite,33,2,50,3,Yes
Healthcare,Low,Increase,Female,North America,11,Hybrid,44,4,27,5,No
Manufacturing,High,Decrease,Male,Oceania,13,Onsite,57,5,34,5,Yes
Retail,High,Decrease,Prefer not to say,Africa,1,Remote,54,2,30,3,No
Education,Medium,No Change,Female,South America,4,Hybrid,45,3,42,3,No
Education,High,Decrease,Prefer not to say,v2P_Africa,4,Yj_Hybrid,89,1,52,1,Yes
Education,Low,No Change,Non-binary,Asia,2,Remote,42,7,45,4,No
Healthcare,Medium,Decrease,Female,Oce.,11,H.,38,2,50,3,Yes
Finance,Low,Increase,Non-binary,Europe,12,Hybrid,59,2,54,3,No
Finance,Low,Decrease,Female,South America,13,Hybrid,28,1,54,4,Yes
IT,Low,Decrease,Prefer not to say,South America,8,Onsite,34,4,25,4,Y.
Consulting,High,Increase,Female,Africa,5,Hybrid,29,2,54,3,Yes
Retail,High,No Change,Non-binary,Asia,11,Onsite,48,9,29,3,No
IT,L.,No Change,Female,Asia,5,Onsite,51,8,37,1,No
r_IT,Medium,Increase,Non-binary,Oceania,10,Hybrid,98,2,56,2,No
IT,Low,Increase,Non-binary,North America,8,Onsite,32,2,33,5,Yes
Manufacturing,Low,Decrease,Female,fr_North America,3,Onsite,40,5,22,4,Yes
Consulting,Low,No Change,Female,Africa,7,Remote,25,5,53,3,No
Retail,Low,Decrease,Female,Europe,11,7Y4_Remote,34,1,53,4,No
Consulting,Medium,No Change,Female,North America,11,Onsite,80,3,43,3,No
1T,High,No Change,Female,Africa,0,Hybrid,22,5,53,1,No
R.,Medium,No Change,Male,Asia,10,Onsite,57,3,34,3,No
Education,High,Increase,Prefer not to say,Asia,0,Onsite,60,2,40,2,Yes
Healthcare,Low,Increase,Male,Asia,1,Remote,40,4,33,5,No
Finance,High,Decrease,Male,Asia,6,Remote,60,3,58,5,Yes
IT,High,Increase,Non-binary,South America,10,Remote,31,3,35,4,x_Yes
Healthcare,culture medium,No Change,Prefer not to say,North America,2,Remote,55,5,27,5,Yes
IT,High,Increase,Female,Asia,8,ev2_Hybrid,81,5,46,4,Yes
IT,Low,Decrease,Prefer not to say,Oceania,12,Remote,53,2,42,3,Yes
Manufacturing,Medium,Decrease,Male,Europe,14,Remote,34,5,36,4,No
Education,Low,Increase,Female,South America,13,Hybrid,23,5,53,3,Yes
Finance,Medium,Increase,Female,North America,15,0nsite,54,2,25,1,No
IT,High,No Change,Prefer not to say,Europe,8,9oXE_Hybrid,29,8,32,2,No
Consulting,Low,Increase,Non-binary,South America,9,Hybrid,40,5,59,5,No
Retail,Me.,No Change,Male,Europe,1,Remote,22,4,26,3,No
d7We_Retail,high-topped,Increase,Non-binary,South America,14,Onsite,22,1,40,3,N.
Education,Low,Decrease,Female,Africa,8,Onsite,48,4,38,4,No.
IT,Low,Decrease,Non-binary,North America,6,Hybrid,22,3,23,1,Ye.
IT,Low,Increase,Prefer not to say,Asia,10,Onsite,28,4,49,3,Yes
Retail,High,Decrease,Male,Asia,7,Remote,43,5,26,1,Yes
IT,Medium,Decrease,Non-binary,Africa,5,intercrossed,49,4,46,5,Y.
Consulting,Medium,Decrease,Male,North America,10,Remote,20,10,51,2,Yes
Education,culture medium,Decrease,Female,Africa,1,Hybrid,97,5,58,5,0w_Yes
Healthcare,Medium,Increase,Non-binary,Africa,2,Remote,24,4,49,1,No
Consulting,Medium,Decrease,Non-binary,North America,2,Onsite,47,9,51,3,Yes
Finance,Medium,Increase,Prefer not to say,South America,13,Hybrid,30,5,43,2,No
IT,High,Decrease,Female,Asia,4,Onsite,84,1,38,4,Yes
Retail,High,Increase,Non-binary,Asia,9,Onsite,34,8,58,4,Yes
Finance,Medium,No Change,Female,North America,7,Remote,55,4,43,2,Yes
Education,Medium,No Change,Male,North America,14,Remote,55,5,52,5,F4XD_Yes
Re.,Medium,Increase,Female,Oceania,12,Onsite,45,2,35,3,No
IT,Medium,Decrease,Male,North America,3,Onsite,20,4,52,2,No
IT,Low,Decrease,Male,North America,12,Remote,59,1,23,3,Yes
IT,Medium,Decrease,Prefer not to say,Oceania,10,Remote,32,3,36,5,No
Manufacturing,High,Increase,Female,Oceania,7,Onsite,25,3,31,5,Yes
Finance,Low,No Change,Male,Europe,15,intercrossed,30,1,43,2,Y.
Manufacturing,Low,Decrease,Male,Africa,10,Hybrid,33,2,54,3,No
Consulting,Low,Increase,Female,North America,13,o_Remote,58,4,53,5,Yes
IT,Medium,No Change,Non-binary,Nor.Amer.,12,Remote,55,1,30,4,Yes
Retail,25IG_High,No Change,Prefer not to say,Asia,2,Onsite,58,3,51,5,Yes
Healthcare,Lo.,No Change,Male,North America,4,Onsite,34,1,58,4,No
IT,Low,Decrease,Male,Africa,15,Onsite,36,8,51,4,Yes
Finance,Medium,Decrease,Non-binary,Europe,2,Onsite,42,5,32,3,No
Retail,Medium,Decrease,Non-binary,Africa,15,Hybrid,22,2,55,4,Yes
Education,Medium,Decrease,Prefer not to say,Europe,3,Hybrid,52,9,36,4,Yes
Educat.,High,Increase,Non-binary,South America,6,Onsite,53,1,31,5,Yes
Healthcare,High,Decrease,Prefer not to say,South America,11,Hybrid,37,1,27,3,Yes
Manufacturing,Low,Decrease,Prefer not to say,Europe,4,Onsite,55,1,31,2,No
Healthcare,High,Decrease,Female,North America,4,Re.,42,4,40,1,No
aw_IT,Medium,No Change,Prefer not to say,Africa,4,Onsite,55,2,28,3,Ye.
Manufacturing,Low,No Change,Non-binary,Afri.,13,Hybrid,42,4,58,5,Yes
Manufacturing,Low,Decrease,Non-binary,Oceania,10,Hybrid,39,3,53,4,No
Consulting,High,No Change,Female,North America,3,Hybrid,54,5,34,2,No
Education,Hi.,No Change,Prefer not to say,Oceania,0,Onsite,76,1,47,4,No
IT,Low,Increase,Non-binary,North America,13,Onsite,44,5,41,4,No
Finance,Low,Decrease,Female,North America,11,Onsite,36,1,48,2,No
Manufacturing,Low,Increase,Prefer not to say,Sout.Ameri.,15,Remote,20,5,22,4,Yes
Manufacturing,High,No Change,Female,North America,15,Onsite,42,2,30,2,Yes
IT,Medium,Increase,Prefer not to say,Africa,1,Remote,24,5,42,1,No
Education,low-toned,Decrease,Female,Asia,7,Hybrid,48,5,34,3,Yes
1T,Low,No Change,Prefer not to say,Oceania,13,Hybrid,30,4,34,4,No
9_Manufacturing,Low,Decrease,Male,North America,5,Onsite,27,3,41,1,No
Consulting,Low,Increase,Female,Africa,5,Hybrid,24,3,41,2,Yes
Healthcare,Low,No Change,Prefer not to say,South America,0,Remote,42,2,27,5,Yes
IT,High,No Change,Non-binary,Asia,10,t_Remote,53,3,27,4,Yes
Retail,Medium,Increase,Male,Europe,14,Hybrid,34,4,22,4,Yes
Retail,Low,No Change,Male,South America,7,Onsite,42,1,27,1,Yes
Manufacturing,R_Medium,Decrease,Non-binary,Africa,3,Hybrid,25,3,25,1,Yes
Consulting,Low,Increase,Prefer not to say,Asia,15,Hybrid,30,9,46,5,No
Finance,Medium,Decrease,Non-binary,Asia,9,Hybrid,80,5,30,2,Yes
Retail,Low,No Change,Non-binary,Ny_North America,15,Hybrid,27,3,38,1,Yes
Manufacturing,Medium,No Change,Prefer not to say,Oceania,5,Hybrid,56,2,41,2,No
Retail,High,Decrease,Male,North America,14,Onsite,30,4,46,3,Yes
Healthcare,VzP_Medium,No Change,Prefer not to say,South America,1,Onsite,40,2,58,4,Yes
Retail,Low,No Change,Prefer not to say,Oceania,13,Hybrid,57,8,57,3,Yes
Retail,Low,Increase,Non-binary,Europe,10,Remote,90,5,35,1,No
Consulting,High,Decrease,Male,Oceania,15,Remote,38,2,30,5,Yes
Healthcare,Low,No Change,Male,Europe,5,Hybrid,47,4,42,1,No
Finance,High,Increase,Male,South America,8,t_Remote,22,1,57,3,No
Manufacturing,Low,Decrease,Non-binary,Oceania,8,Onsite,34,4,40,4,Yes
Finance,Low,Increase,Male,O.,2,Hybrid,46,5,33,5,No
Healthcare,Medium,No Change,Prefer not to say,Africa,0,Onsite,28,1,31,3,No
Manufacturing,Low,Increase,Non-binary,Africa,1,Onsite,98,4,54,5,Yes
Retail,Medium,Decrease,Female,Europe,14,Hybrid,23,1,25,3,Yes
IT,High,No Change,Female,South America,7,Onsite,36,10,46,4,No
Retail,Low,No Change,Prefer not to say,Oceania,10,Hybrid,45,3,44,5,Yes
Re.,High,No Change,Prefer not to say,Oceania,9,Remote,39,2,25,1,No
Education,Low,No Change,Non-binary,Africa,7,Hybrid,55,2,29,1,No
Education,Low,No Change,Female,North America,5,CHj_Remote,26,4,43,4,Yes
Consulting,culture medium,No Change,Male,Oceania,6,Remote,51,3,30,1,No
Finance,Low,Increase,Non-binary,North America,4,Remote,20,2,24,5,Yes
Education,Medi.,No Change,Non-binary,Oceania,12,Remote,46,1,32,5,Yes
Consulting,Medium,Increase,Female,Europe,0,Onsite,31,1,32,1,No
Consulting,Medium,No Change,Female,North America,11,Onsite,56,5,52,1,Yes
Education,High,Decrease,Prefer not to say,South America,10,Hybrid,52,1,28,3,Yes
Finance,Medium,Increase,Female,South America,14,Onsite,53,7,25,2,No
Retail,Low,Decrease,Female,Oceania,0,Hybrid,30,5,45,5,No
manufacture,Medium,No Change,Female,to the north the americas,13,Onsite,56,4,46,5,Yes
Finance,Low,Increase,Prefer not to say,Oceania,15,Onsite,20,5,58,3,Yes
Consulting,High,Increase,Prefer not to say,Oceania,10,Remote,52,1,46,4,No
IT,High,Decrease,Non-binary,Africa,5,Hybrid,38,2,32,5,Y.
Consulting,Low,Decrease,Non-binary,Africa,10,Remote,36,4,46,2,Yes
Education,Low,Decrease,Male,Africa,9,0nsite,25,2,45,4,Yes
Education,Low,Increase,Non-binary,South America,8,Hybrid,46,4,33,4,Yes
Healthcare,Medium,No Change,Male,South America,8,Hybrid,42,5,47,5,No
Education,High,Increase,Non-binary,Oceania,9,Remote,32,8,23,5,No
Manufacturing,rHp_Medium,No Change,Female,North America,8,Hybrid,34,2,55,1,No
Finance,Low,Decrease,Female,Africa,1,Remote,78,1,24,5,No
Finance,Medium,No Change,Female,Asia,13,Onsite,27,4,33,3,Yes
IT,High,No Change,Male,North America,7,Hybrid,98,2,22,5,Yes
Consulting,High,Increase,Prefer not to say,Asia,1,Hybrid,27,3,33,3,Yes
Education,Medium,Decrease,Non-binary,Asia,8,Onsite,31,1,48,4,No
Education,High,Increase,Female,Africa,2,Onsite,20,3,35,3,Yes
Retail,Medium,Decrease,Prefer not to say,Oceania,4,Hybrid,44,3,26,2,No
Retail,Medium,Increase,Prefer not to say,Europe,2,Remote,59,4,60,3,No
Consulting,low-toned,Decrease,Male,Oceania,3,Onsite,53,3,23,3,No
Healthcare,Low,No Change,Non-binary,Oceania,11,Onsite,56,1,45,4,Yes
Consulting,Medium,Increase,Male,Africa,6,Onsite,37,4,46,1,No
IT,High,No Change,Female,South America,1,Remote,59,1,24,1,Yes
Education,Medium,Decrease,Non-binary,Asia,13,Onsite,41,1,48,1,NtO_Yes
Retail,Low,Increase,Female,Africa,0,Hybrid,32,3,55,4,No
Retail,Low,No Change,Prefer not to say,Asia,7,Onsite,38,9,36,5,No
H.,Low,Increase,Prefer not to say,Africa,15,Onsite,42,2,39,5,Yes
Finance,High,Decrease,Female,Oceania,7,Hybrid,45,4,24,1,Yes
Manufacturing,Medium,No Change,Male,Asia,4,Remote,36,4,48,3,No
Retail,Low,Decrease,Female,Oceania,10,Remote,28,5,52,3,Yhpo_No
Healthcare,Low,No Change,Non-binary,Europe,7,Remote,23,1,36,1,atomic number 102
Healthcare,Lo.,Decrease,Female,South America,11,Hybrid,40,8,57,5,Yes
Retail,Medium,Increase,Male,Africa,11,Hybrid,79,1,27,1,Yes
Education,Low,Increase,Non-binary,Oceania,5,Onsite,24,4,31,3,No
Sm_Education,High,No Change,Male,Africa,0,Onsite,21,5,49,3,No
Finance,Hi.,Increase,Prefer not to say,South America,3,Onsite,34,2,60,2,Yes
Healthcare,Medium,No Change,Male,Europe,10,Remote,95,4,52,4,No
Healthcare,Medium,No Change,Female,South America,15,Hybrid,23,5,27,5,Yes
Healthcare,High,No Change,Male,Afri.,15,0nsite,96,3,55,5,No
IT,Low,Decrease,Non-binary,South America,14,Onsite,45,1,33,2,Yes
F.,Medium,Decrease,Prefer not to say,North America,0,Hybrid,44,5,49,2,No
Healthcare,Low,Increase,Non-binary,Africa,5,Onsite,50,2,32,3,No
C.,Low,No Change,Non-binary,Oceania,11,Onsite,36,1,23,2,No
Health.,Medium,Increase,Male,Europe,8,Remote,32,3,35,1,Yes
Healthcare,Medium,Decrease,Non-binary,South America,9,Onsite,38,3,53,5,No
Manufacturing,Low,Increase,Male,Asia,5,remote control,24,1,37,1,No
Consulting,I_High,No Change,Non-binary,Africa,1,4_Hybrid,26,1,50,4,Yes
Healthcare,High,No Change,Prefer not to say,Africa,14,Hybrid,48,3,50,4,Yes
Healthcare,Low,Decrease,Male,Oceania,2,Remote,56,2,50,5,No
Consulting,Low,No Change,Female,South America,12,Remote,96,5,54,3,Yes
Finance,Medium,Increase,Female,Africa,6,Hybrid,77,3,47,1,No
pd_Healthcare,Low,No Change,Prefer not to say,Europe,13,Remote,51,1,30,3,Yes
Manufa.,Low,No Change,Non-binary,Europe,15,Hybrid,39,1,22,2,No
Manufacturing,Medium,No Change,Non-binary,Asia,6,remote control,52,4,31,4,No
Retail,H.,No Change,Female,to the north the americas,0,Remote,91,1,33,2,Z_Yes
IT,Medium,Increase,Male,Oceania,10,Remote,20,1,22,1,Yes
Finance,Low,Decrease,Female,Oceania,13,remote control,23,3,38,1,Yes
Consulting,High,Decrease,Male,Oceania,0,Onsite,98,4,38,3,N.
rT8_Retail,Medium,Increase,Female,Asia,9,Hybrid,84,4,36,5,Yes
Healthcare,High,Decrease,Male,Africa,8,Hybrid,49,5,47,2,Yes
IT,High,Increase,Non-binary,Africa,7,Remote,27,5,37,1,Yes
Consulting,Medium,Decrease,Non-binary,Europe,7,Onsite,27,2,38,4,No
Healthcare,High,No Change,Non-binary,Oceania,8,Hybrid,26,1,39,3,No
Consulting,Low,Decrease,Male,Oceania,12,Onsite,39,2,29,1,Yes
Manufacturing,High,Increase,Prefer not to say,Europe,2,Hybrid,55,2,38,5,Yes
Healthcare,Medium,No Change,Non-binary,Asia,7,Remote,79,2,40,5,Yes
Consulting,Medium,Decrease,Prefer not to say,South America,9,Onsite,49,3,31,4,Yes
Education,High,Decrease,Non-binary,Africa,8,Onsite,38,10,33,5,Yes
Manufacturing,Medium,No Change,Male,South.America,0,Remote,26,4,50,4,No
Consulting,Low,Decrease,Non-binary,Oceania,2,Remote,31,2,59,2,Yes
Education,Medium,Decrease,Female,Asia,6,Remote,26,1,42,4,Ye.
Manufacturing,R7pW_High,Decrease,Non-binary,South-America,9,Onsite,32,2,29,2,No
Consulting,Medium,No Change,Female,South America,4,Onsite,33,5,26,4,No
Consulting,Medium,No Change,Male,Asia,6,Hybrid,44,5,47,1,Yes
gW2_Manufacturing,Low,No Change,Female,Africa,5,Onsite,37,4,40,4,Yes
Education,High,Increase,Female,North America,1,0nsite,20,4,57,5,No
IT,Medium,Decrease,Prefer not to say,Asia,7,Remote,34,2,56,5,Yes
IT,Medium,Increase,Prefer not to say,Oceania,15,Remote,35,3,28,3,No
Healthcare,Low,No Change,Female,South America,2,Onsite,55,10,52,3,No
Healthcare,Low,No Change,Male,Europe,3,Hybrid,22,10,40,2,Yes
Healthcare,Medium,Increase,Male,Asia,6,Remote,41,3,46,5,Yes
Consulting,Medium,Decrease,Non-binary,Africa,2,Hybrid,41,1,53,5,Yes
Finance,Low,Decrease,Male,South America,13,Onsite,48,3,39,5,Yes
Education,Low,Decrease,Male,to the north the americas,9,Onsite,56,1,51,5,Yes
Healthcare,Low,No Change,Female,Asia,0,Onsite,45,2,48,5,Yes
Finance,Med.,No Change,Male,North America,2,Remote,53,1,47,4,Yes
IT,Medium,No Change,Non-binary,South America,2,Onsite,28,5,25,2,No
Consulting,Low,Increase,Non-binary,Africa,6,Remote,95,5,34,2,Yes
Education,Medium,Increase,Female,Oceania,14,0nsite,55,5,32,4,Yes
IT,Low,Increase,Non-binary,Africa,1,Onsite,48,5,22,2,No
Finance,Low,Decrease,Female,South America,10,Hybrid,57,1,47,5,No
Retail,High,No Change,Female,South America,10,Hybrid,92,1,52,2,atomic number 102
Retail,Medium,Decrease,Male,in the south the americas,9,Remote,56,3,55,2,No
Healthcare,High,No Change,Male,ka_Asia,14,Onsite,23,5,60,1,Yes
IT,Medium,No Change,Female,Europe,2,Onsite,96,2,52,4,Yi_Yes
Finance,High,Increase,Prefer not to say,South America,15,Remote,97,4,33,1,Yes
Retail,Low,Decrease,Male,North America,6,Remote,33,3,30,2,No
Healthcare,High,Increase,Non-binary,1_Asia,2,Hybrid,31,2,50,3,Yes
Education,High,No Change,Male,Europe,3,Onsite,54,3,28,4,Yes
I.,Medium,No Change,Male,Europe,8,Onsite,57,1,32,4,No
Finance,High,Increase,Male,Asia,1,Hybrid,42,5,31,3,Yes
IT,Medium,No Change,Female,Europe,2,Onsite,49,5,60,5,Yes
Manufacturing,Low,Increase,Female,Asia,7,Onsite,33,1,23,4,No
Manufacturing,Low,Increase,Prefer not to say,North America,8,Remote,47,5,24,2,Yes
Consulting,Low,No Change,Male,Asia,7,Hybrid,56,1,44,5,Yes
Finance,High,Increase,Non-binary,Oceania,3,Remote,25,3,49,5,Yes
Education,High,Decrease,Male,South America,3,Remote,36,1,28,1,No
Consulting,Lo.,Decrease,Female,Oceania,3,Remote,26,10,22,3,Yes
Manufacturing,High,Increase,Non-binary,North America,10,Remote,56,5,48,1,Yes
IT,Low,Decrease,Male,South America,15,Hybrid,54,4,56,5,No
Consulting,Low,Decrease,Male,Oceania,3,Onsite,46,4,54,5,Yes
Consulting,culture medium,Increase,Female,North America,10,Remote,36,2,49,5,Yes
Retail,Medium,No Change,Prefer not to say,North America,3,Onsite,45,2,27,2,Ye.
Finance,Low,Decrease,Male,5outh America,9,Remote,36,1,31,4,Yes
Retail,Low,No Change,Male,Asia,4,Onsite,84,8,26,5,No
Finance,High,Increase,Non-binary,Oceania,0,Vwm6_Hybrid,47,3,33,1,No
Retail,High,No Change,Prefer not to say,Oceania,7,Onsite,41,1,30,4,Yes
Education,High,Increase,Female,Asia,15,Onsite,38,9,39,2,No
Consulting,Medium,Increase,Female,South America,2,Onsite,60,9,42,4,No
Healthcare,Medium,Increase,Male,South America,1,Onsite,48,9,27,4,Yes
Education,culture medium,Increase,Prefer not to say,Asia,10,Remote,24,9,24,1,No
8H_Manufacturing,Medium,Decrease,Non-binary,Europe,6,Onsite,57,3,42,3,No
IT,M.,No Change,Male,South America,0,Onsite,30,2,46,5,No
Retail,High,No Change,Male,ZQ0P_Africa,14,Remote,80,2,57,1,Yes
YBg_Retail,High,Decrease,Female,Asia,11,Onsite,51,1,50,5,Yes
Healthcare,High,No Change,Male,South America,11,Onsite,28,8,31,4,z8R_No
Healthcare,L.,No Change,Male,North America,14,Hyb.,60,1,56,4,Yes
Finance,l5_Medium,Increase,Female,South America,0,Onsite,35,2,31,1,No
Healthcare,Low,No Change,Non-binary,Africa,12,Onsite,59,5,27,2,Yes
Manufacturing,Medium,No Change,Prefer not to say,Asia,1,Remote,58,4,51,4,No
Retail,Low,Decrease,Non-binary,South America,4,Remote,22,5,50,5,No
Consulting,High,Decrease,Female,Europe,13,Remote,45,5,47,4,Yes
Consulting,High,Decrease,Prefer not to say,Eu.,5,Hybrid,27,5,28,2,Yes
Consulting,High,Decrease,Female,North America,1,Remote,35,4,25,3,atomic number 102
Healthcare,Medium,Increase,Female,South America,13,b_Onsite,41,3,35,5,Yes
Consulting,Medium,No Change,Female,Europe,8,Remote,31,5,26,3,No
Retail,Medium,Increase,Female,North America,2,Hybrid,22,5,31,1,No
Finance,Medium,Decrease,Prefer not to say,South America,13,Remote,24,2,56,3,No
Education,Low,Increase,Non-binary,Asia,12,Hybrid,24,2,45,4,No
Finance,L.,Decrease,Female,A.,13,Hybrid,49,4,41,5,Yes
iD_IT,Low,Decrease,Male,p3_North America,3,Remote,52,2,30,1,uLx7_No
Finance,Low,No Change,Prefer not to say,Oceania,15,Remote,55,2,23,4,No
Consulting,High,Decrease,Female,Asia,9,Hybrid,22,5,34,3,No
Retail,Medium,Increase,Male,North America,7,Remote,98,1,25,3,Yes
IT,Medium,No Change,Female,As.,12,Hybrid,52,2,49,1,Yes
Finance,High,Decrease,Female,Europe,15,Onsite,45,5,33,2,Yes
Educat.,Low,Decrease,Male,South America,3,Hybrid,30,3,59,3,No
v_Retail,High,Decrease,Male,North America,5,Onsite,56,3,48,4,No
Retail,v_High,No Change,Male,Africa,2,Remote,21,1,54,1,Yes
Man.,High,Decrease,Female,Africa,0,Hybrid,56,1,54,1,Yes
IT,Medium,Decrease,Prefer not to say,South America,1,Remote,26,3,27,4,No
Finance,Low,No Change,Male,Asia,9,Hybrid,25,5,51,2,Yes
IT,Medium,No Change,Female,uLL_Oceania,15,27_Remote,27,4,44,4,No
Re.,Medium,Increase,Prefer not to say,Oceania,11,Hybrid,60,4,28,4,Yes
Manufacturing,Low,No Change,Prefer not to say,Oceania,3,Hybrid,21,4,34,5,Ye.
Edu.,Medium,No Change,Non-binary,North America,10,Onsite,25,2,53,1,Yes
Retail,Low,Increase,Prefer not to say,North America,1,NddR_Hybrid,52,5,41,3,Yes
Finance,Medium,No Change,Prefer not to say,Asia,8,Remote,41,1,54,3,Yes
IT,High,No Change,Prefer not to say,South America,1,Remote,21,4,35,1,No
IT,Low,No Change,Prefer not to say,in the south the americas,2,Remote,79,5,60,4,No
Health.,Low,Decrease,Male,South America,6,Hybrid,38,3,54,1,Yes
Consulting,Low,No Change,Male,G4_South America,9,Remote,43,5,29,1,Yes
Consulting,High,Decrease,Male,South America,12,Hybrid,20,5,34,1,No
Retail,Medium,Decrease,Female,Asia,7,Rem.,52,3,52,4,No
Retail,Medium,Decrease,Prefer not to say,Africa,4,Remote,21,5,25,2,No
Retail,Medium,Increase,Female,Africa,15,Remote,56,3,58,4,No
Consulting,Medium,Decrease,Female,Oceania,5,Onsite,38,4,22,3,No
Education,Aw_High,No Change,Prefer not to say,Oceania,15,Remote,39,1,48,3,Yes
Manufacturing,Medium,Decrease,Prefer not to say,Oceania,5,Onsite,47,8,31,2,Yes
Finance,Low,No Change,Male,Africa,8,Remote,53,2,33,2,No
Retail,Medium,No Change,Non-binary,Asia,7,Onsite,58,4,41,3,Yes
Retail,culture medium,Decrease,Male,0ceania,15,Onsite,55,3,26,5,No
Finance,High,No Change,Female,North America,13,Remote,54,3,40,3,Yes
Education,Medium,Decrease,Non-binary,Asia,13,Onsite,60,5,38,2,No
Retail,Medium,No Change,Female,Oceania,13,Hybrid,34,1,43,2,No
IT,Low,No Change,Prefer not to say,Africa,14,remote control,50,3,32,4,No
IT,Medium,Increase,Female,Nor.Am.,15,Onsite,60,1,23,5,No
Healthcare,Medium,Decrease,Male,South America,11,Remote,20,3,29,1,No
Consulting,Low,Increase,Non-binary,South America,15,Hybrid,60,1,36,3,No
IT,High,Decrease,Prefer not to say,South America,10,Remote,38,1,31,3,No
Education,High,Decrease,Prefer not to say,oceanica,5,Onsite,77,5,56,5,Yes
IT,5zH_Medium,Increase,Female,South America,10,Onsite,58,10,24,4,Yes
Manufacturing,Me.,No Change,Prefer not to say,Oceania,13,Onsite,49,1,39,5,Yes
Consulting,Low,No Change,Male,Oceania,2,Remote,30,5,49,5,Yes
Healthcare,High,No Change,Female,North America,5,Cjv5_Remote,42,3,29,4,No
Education,Medium,Increase,Male,North America,5,Remote,34,3,58,2,No
IT,Medium,No Change,Male,Europe,11,Remote,41,2,54,3,Yes
Re.,Medium,No Change,Female,Oceania,12,Remote,22,2,25,4,No
Consulting,Medium,Decrease,Male,Asia,12,Onsite,24,5,35,2,No
Healthcare,Low,Decrease,Non-binary,Africa,9,Hybrid,57,3,37,2,Yes
Finance,Medium,No Change,Prefer not to say,North America,15,Remote,29,8,36,4,8sQ_No
Retail,High,Increase,Non-binary,North America,11,Remote,41,2,60,1,No
Education,High,Decrease,Prefer not to say,Sout.A.,13,Remote,27,8,53,5,No
Finance,Medium,Increase,Female,Europe,7,Remote,47,9,37,4,Yes
Retail,High,Decrease,Female,South America,7,Onsite,41,5,58,2,Yes
IT,L.,Increase,Non-binary,North America,11,Remote,99,10,45,3,Yes
IT,High,Decrease,Female,Oceania,6,Remote,35,4,37,5,Yes
Consulting,RBR_High,Increase,Male,Europe,11,Remote,60,2,22,5,No
IT,High,Decrease,Male,Africa,6,Onsite,56,4,54,5,No
1T,Medium,Increase,Prefer not to say,Africa,13,Remote,28,3,48,4,No
Healthcare,Low,No Change,Non-binary,Oceania,14,Onsite,22,3,41,4,No
Finance,Medium,Decrease,Non-binary,North America,0,Hybrid,24,10,30,2,Yes
Consulting,Low,No Change,Female,Africa,14,Hybrid,22,4,37,4,No
Education,culture medium,No Change,Male,Europe,12,Remote,37,2,45,5,No
Education,Medium,No Change,Prefer not to say,Africa,4,Hybrid,32,2,58,5,atomic number 102
IT,High,No Change,Prefer not to say,Africa,14,Onsite,51,3,29,2,Yes
Manufacturing,t_High,No Change,Male,South America,14,Remote,60,2,35,5,No
Education,High,Decrease,Prefer not to say,Africa,4,Onsite,27,1,22,1,No
Retail,culture medium,Decrease,Prefer not to say,South America,3,Hybrid,44,4,44,2,No
Healthcare,Medium,Decrease,Male,South America,3,Hybrid,48,5,31,3,Yes
IT,Medium,No Change,Male,North America,14,Remote,58,2,42,2,No
Finance,High,Decrease,Non-binary,Africa,4,Hybrid,27,1,30,1,No
Ret.,n_Medium,No Change,Non-binary,North America,0,Remote,94,3,28,1,No
Healthcare,culture medium,No Change,Male,South America,13,Onsite,50,3,55,1,Yes
Manufacturing,High,Increase,Male,Africa,2,Ons.,39,1,42,4,Yes
Finance,zw0_Medium,Increase,Prefer not to say,Asia,12,R.,20,4,46,3,Yes
IT,Low,Decrease,Male,Africa,1,Remo.,36,4,27,1,Yes
IT,High,Decrease,Male,Oceania,15,Hybrid,60,2,58,1,Yes
Healthcare,High,Increase,Non-binary,Europe,11,0nsite,55,2,35,4,No
Education,Med.,Decrease,Non-binary,North America,12,Onsite,41,3,43,2,Yes
Manufacturing,Medium,No Change,Male,Oceania,10,Onsite,38,5,23,5,No
t2_Consulting,Low,No Change,Female,Oceania,4,Ons.,56,4,22,3,Yes
4_Consulting,Low,No Change,Female,Asia,8,Hybrid,54,5,30,1,No
manufacture,High,Increase,Female,Oceania,2,Hybrid,23,1,47,1,Yes
Educa.,High,Increase,Male,South America,11,Remote,46,5,54,1,No
Healthcare,v_High,Decrease,Female,5outh America,15,Hybrid,46,3,47,1,Yes
Education,Medium,No Change,Male,South America,8,Remote,59,3,52,1,Yes
IT,Medium,No Change,Prefer not to say,Africa,4,Hybrid,42,1,32,5,Ye.
Education,High,Increase,Female,pM_Africa,0,Remote,55,4,33,5,Ye.
