keep company financial backing  remote control do work,DHIHOrvRCC,Stress_Level,Sleep_Quality,Hours_Worked_Per_Week,Age,Social_Isolation_Rating,Years_of_Experience,Job_Role,1f,Access_to_Mental_Health_Resources,Physical_Activity,do work situating
9,Africa,High,Good,26,50,1,23,Sales,Consultinn,Yes,Daily,H6brid
3,Africa,High,Poor,48,50,4,13,Sales,Healthcare,Yes,None,Hybrid
2,Oceania,Low,Good,56,50,5,18,HR,Healthcare,No,None,Remote
5,South America,Low,Good,38,54,3,27,Project Manager,Consuoting,Yes,None,
3,Africa,Medium,Poor,47,47,2,26,HR,Finance,No,Daily,Hybrid
7,Europe,Low,Poor,51,30,2,29,Sales,Healthcare,Yes,Weekly,Remote
1,Europe,Low,Good,39,22,3,14,Software Engineer,Manufacturing,No,Daily,Hybrid
8,Asia,Medium,Good,52,31,3,22,Data Scientist,Manufacturing,No,Weekly,Remote
1,North America,High,Average,46,33,2,33,Designer,Ratail,Yes,None,Rrmote
1,Oceania,Medium,Poor,20,22,2,30,Marketing,7T,Yes,None,Remote
8,Oceania,Low,Good,23,38,1,22,Project Manager,Finance,Yes,Weekly,
4,Oceania,High,Average,39,38,1,21,HR,Consulting,No,None,Onsite
4,Asia,Medium,Poor,29,36,2,19,HR,Retail,Yes,Weekly,Hibrid
5,Africa,High,Average,49,47,1,7,Project Manager,Healthcare,Yes,Weekly,
5,Africa,High,Average,27,37,4,26,Data Scientist,IT,Yes,None,Remote
2,Europe,Medium,Average,27,38,2,16,Project Manager,Consulting,No,Daily,Onsite
1,Oceania,High,Good,26,39,4,3,Project Manager,Healthcare,No,Daily,Hybrid
2,Oceania,Low,Poor,39,29,4,11,Project Manager,Consulting,Yes,None,Onsite
4,Europe,High,Average,55,38,1,26,Data Scientist,Manufafturing,Yes,None,Hybrid
2,Asia,Medium,Poor,59,40,3,3,Data Scientist,Heelthcare,Yes,Weekly,Remote
9,South America,Medium,Average,49,31,5,24,Designer,Consu.,Yes,None,Onsite
4,Africa,High,Good,38,33,3,11,Sales,Education,Yes,Weekly,Onsite
4,South America,Medium,Average,26,50,4,16,Sales,Manufacturihg,No,Daily,Remote
3,Oceania,Low,Good,31,59,1,3,Sales,Consulting,Yes,None,Remote
1,Asia,Medium,Poor,26,42,2,21,Designer,Aducation,Yes,Weekly,Remote
2,South America,High,Poor,32,29,1,1,Sales,Manufacturing,No,None,Onsite
10,South America,Medium,Poor,33,26,1,7,Data Scientist,Consulting,No,Daily,Onsita
5,Asia,Medium,Average,44,47,1,34,Sales,Consulting,Yes,Weekly,Hybrid
4,Africa,Low,Average,37,40,4,12,Data Scientist,Manufacturing,Yes,None,Onsi.
10,North America,High,Good,20,57,4,12,HR,Educat.,No,None,Onsite
2,Asia,Medium,Average,34,56,3,9,HR,IT.,Yes,None,
3,Oceania,Medium,Poor,35,28,4,19,Data Scientist,1T,No,None,Remote
4,South America,Low,Good,55,52,5,33,HR,Nealthcars,No,Daily,Onsihe
5,Europe,Low,Good,22,40,4,9,Project Manager,Healthcare,Yes,Weekly,Hybrid
3,Asia,Medium,Average,41,46,4,26,Project Manager,Healthcare,Yes,Daily,Remote
1,Africa,Medium,Average,41,53,5,6,Software Engineer,,Yes,None,
3,South America,Low,Poor,48,39,1,13,Software Engineer,Rinanse,Yes,Daily,Onsite
1,North America,Low,Good,56,51,2,4,Software Engineer,,Yes,Weekly,
2,Asia,Low,Poor,45,48,1,33,Project Manager,Hesltjcare,Yes,Weekly,Onsite
1,North America,Medium,Average,53,47,3,30,Sales,,Yes,None,Remote
5,South America,Medium,Good,28,25,1,3,HR,IT,No,Weekly,Onside
3,Africa,Low,Good,32,34,2,21,Project Manager,,Yes,Daily,Remote
8,Oceania,Medium,Average,55,32,3,24,Marketing,4sucation,Yes,Weekly,Ondite
9,Africa,Low,Poor,48,22,5,24,Sales,IT,No,None,Onsite
1,South America,Low,Poor,57,47,4,30,Project Manager,Finance,No,None,Hy.
1,South America,High,Average,37,52,3,17,Designer,Ratail,No,Weekly,Jybrid
3,South America,Medium,Poor,56,55,3,30,Marketing,Regsil,No,None,Remote
3,Asia,High,Good,23,60,2,21,Project Manager,Healthcare,Yes,Daily,Onsite
2,Europe,Medium,Good,49,52,1,29,Designer,IT,Yes,Weekly,Onsite
4,South America,High,Average,25,33,1,29,Marketing,Finance,Yes,None,Remote
9,North America,Low,Average,33,30,1,1,Designer,,No,None,Remote
4,Asia,High,Good,31,50,2,1,Marketing,Healthczre,Yes,None,Hybrid
3,Europe,High,Average,54,28,5,12,Marketing,Educatiom,Yes,Daily,Onsite
1,Europe,Medium,Poor,57,32,5,7,Data Scientist,IT,No,None,Onsite
3,Asia,High,Poor,42,31,3,28,Software Engineer,Finance,Yes,Daily,Hybrid
9,Europe,Medium,Poor,49,60,1,27,Software Engineer,1T,Yes,None,Onsite
5,Asia,Low,Average,33,23,3,11,Sales,,No,None,Onsyte
9,North America,Low,Good,47,24,1,11,Project Manager,Manufacturing,Yes,Daily,
1,Asia,Low,Good,56,44,3,34,Software Engineer,Consulting,Yes,Weekly,
3,Oceania,High,Good,25,49,2,32,Sales,Finance,Yes,Weekly,Ren0te
8,South America,High,Good,36,28,5,16,Project Manager,,No,Daily,Remote
3,Oceania,Low,Poor,26,22,4,3,Marketing,Consulting,Yes,Daily,Re.
5,North America,High,Average,56,48,1,16,Software Engineer,Manufacturing,Yes,None,Remo.
4,South America,Low,Poor,54,56,3,11,HR,LT,No,Weekly,Hybrid
4,Oceania,Low,Poor,46,54,5,8,Sales,,Yes,None,Ons.
4,North America,Medium,Average,36,49,1,3,Data Scientist,Consulting,Yes,Weekly,Remota
10,North America,Medium,Good,45,27,2,26,Marketing,Getzil,Yes,None,Onsite
3,South America,Low,Average,36,31,1,6,Designer,Finance,Yes,None,Remote
3,Asia,Low,Good,46,26,2,20,Data Scientist,Retail,No,None,Ojsitw
3,Oceania,High,Good,47,33,4,17,Sales,Finance,No,None,Hybeir
3,Oceania,High,Poor,41,30,1,13,Software Engineer,Retail,Yes,Daily,Onsite
8,Asia,High,Average,38,39,5,18,Data Scientist,Education,No,None,Onside
2,South America,Medium,Poor,60,42,3,17,Data Scientist,Consulting,No,None,Onsite
3,South America,Medium,Good,48,27,2,5,Project Manager,Healthcarr,Yes,Daily,Onsite
5,Asia,Medium,Poor,24,24,1,33,Designer,Education,No,None,Remote
8,Europe,Medium,Average,57,42,5,14,Data Scientist,Manufacturing,No,None,
2,South America,Medium,Average,30,46,5,24,Designer,1T,No,None,Onsite
2,Africa,High,Poor,42,57,4,11,Data Scientist,Retail,Yes,None,Remo.
1,Asia,High,Poor,51,50,2,23,Data Scientist,Rwtail,Yes,None,Onsite
4,South America,High,Poor,28,31,5,15,Designer,Hewltgcare,No,Weekly,Onsite
1,North America,Low,Good,60,56,2,15,Software Engineer,Heelthcare,Yes,Daily,
4,South America,Medium,Poor,35,31,3,15,Project Manager,Finance,No,Weekly,Onsite
2,Africa,Low,Average,59,27,5,15,Software Engineer,Healthcare,Yes,None,Onsote
4,Asia,Medium,Average,58,51,1,25,Project Manager,,No,Weekly,Remote
5,South America,Low,Poor,22,50,4,28,HR,Retail,No,Weekly,
5,Europe,High,Average,45,47,4,10,Sales,,Yes,Daily,Ramote
5,Europe,High,Average,27,28,2,6,HR,Consulting,Yes,Weekly,Hybrid
4,North America,High,Average,35,25,5,20,Designer,Consulting,No,None,Remote
3,South America,Medium,Poor,41,35,3,12,Software Engineer,Healthcare,Yes,Daily,
5,Europe,Medium,Poor,31,26,3,15,Project Manager,Consulting,No,None,Remote
5,North America,Medium,Poor,22,31,3,6,HR,Retail,No,Weekly,Hybrid
10,South America,Medium,Good,24,56,4,21,Marketing,Einance,No,None,Remote
2,Asia,Low,Average,24,45,5,9,Data Scientist,Education,No,Weekly,Hybrid
4,Asia,Low,Good,49,41,2,30,Data Scientist,Finance,Yes,None,Hybrid
2,North America,Low,Poor,52,30,1,25,Project Manager,IT,No,Daily,Remote
4,Oceania,Low,Poor,55,23,5,35,Project Manager,Finance,No,None,Remote
3,Asia,High,Good,22,34,2,23,HR,,No,None,Hybrid
2,North America,Medium,Good,35,25,2,17,Data Scientist,Ret.,Yes,Daily,Remote
2,Asia,Medium,Good,52,49,2,35,Sales,IT,Yes,Weekly,Hybrid
5,Europe,High,Good,45,33,3,26,Software Engineer,Finance,Yes,None,9nsite
3,South America,Low,Poor,30,59,2,6,Data Scientist,Education,No,Weekly,Hyb.
3,North America,High,Poor,56,48,5,2,HR,Retail,No,Weekly,Onsite
1,Africa,High,Poor,21,54,5,7,Data Scientist,,Yes,None,Remote
1,Africa,High,Average,56,54,3,29,Project Manager,Manufacturing,Yes,None,Hybrid
2,South America,Medium,Average,26,27,4,4,Marketing,IT,No,Daily,Remote
5,Asia,Low,Average,25,51,3,2,Data Scientist,Finance,Yes,Daily,Hybrid
4,Oceania,Medium,Average,27,44,2,6,Project Manager,IT,No,None,Remote
9,Oceania,Medium,Good,60,28,1,24,Software Engineer,Redail,Yes,None,Hybrid
4,Oceania,Low,Good,21,34,5,28,Project Manager,Manufacturing,Yes,Daily,Hybrid
3,North America,Medium,Poor,25,53,1,26,Designer,Education,Yes,Daily,Onsite
5,North America,Low,Good,52,41,5,30,Data Scientist,Retail,Yes,None,Hybrid
1,Asia,Medium,Average,41,54,2,1,Project Manager,Finahce,Yes,None,Remote
1,South America,High,Poor,21,35,1,17,HR,IT,No,Weekly,Remote
8,South America,Low,Poor,56,60,4,10,Project Manager,YT,No,None,Remote
3,South America,Low,Poor,38,54,1,22,Data Scientist,Healthcare,Yes,Weekly,Hybrid
5,South America,Low,Good,43,29,5,23,Designer,Consulting,Yes,Weekly,Remote
5,South America,High,Poor,20,34,4,7,Designer,C.,No,None,Hybrid
3,Asia,Medium,Average,52,52,1,7,HR,Reta.,No,None,Rem.
5,Africa,Medium,Good,21,25,5,5,Software Engineer,Retail,No,Weekly,Remote
3,Africa,Medium,Poor,56,58,3,33,Sales,Retail,No,Weekly,Rem0tr
9,Oceania,Medium,Poor,38,22,1,25,Software Engineer,,No,Weekly,Oncite
1,Oceania,High,Poor,39,48,5,22,Data Scientist,Educat.,Yes,None,Remote
2,Oceania,Medium,Average,47,31,4,31,Marketing,Manufacturing,Yes,None,Onsite
2,Africa,Low,Average,53,33,1,3,Project Manager,Finance,No,Weekly,
8,Asia,Medium,Average,58,41,4,26,Data Scientist,Retail,Yes,Weekly,Ons.
8,Oceania,Medium,Good,55,26,4,17,Designer,,No,None,Onsite
3,North America,High,Good,54,40,4,12,Designer,Finance,Yes,Weekly,Remota
5,Asia,Medium,Good,60,38,4,11,Software Engineer,Education,No,Weekly,Onsi.
1,Oceania,Medium,Poor,34,43,3,32,Data Scientist,,No,Weekly,Hybrid
3,Africa,Low,Average,50,32,3,28,HR,,No,Weekly,Rem.
1,North America,Medium,Average,60,23,5,27,HR,IT,No,Daily,
2,South America,Medium,Average,20,29,5,6,Project Manager,Healthcare,No,None,Remote
1,South America,Low,Poor,60,36,1,9,Marketing,Consulting,No,Daily,Hybrid
1,South America,High,Good,38,31,5,27,HR,IT,No,Weekly,Ramote
5,Oceania,High,Poor,53,56,4,29,Data Scientist,Educetion,Yes,None,Onsite
2,South America,Medium,Poor,58,24,3,23,Sales,IT,Yes,Weekly,Onsite
1,Oceania,Medium,Average,49,39,5,3,Project Manager,Manufacturing,Yes,Daily,Onsite
5,Oceania,Low,Average,30,49,5,25,Data Scientist,Consulting,Yes,None,Remote
5,North America,High,Good,42,29,1,30,Designer,Healthcar3,No,Daily,Remote
2,North America,Medium,Good,34,58,5,19,Data Scientist,Education,No,None,Remote
2,Europe,Medium,Good,41,54,2,12,Project Manager,IT,Yes,Daily,Remote
2,Oceania,Medium,Average,22,25,4,19,Data Scientist,Retayl,No,None,Remote
5,Asia,Medium,Average,24,35,3,34,Sales,Consulting,No,None,Onsi.
9,Africa,Low,Poor,57,37,3,15,Project Manager,Healthcare,Yes,Weekly,Hybryd
1,North America,Medium,Average,29,36,1,4,Designer,Finance,No,None,Remots
2,North America,High,Good,41,60,2,6,Marketing,Retail,No,None,Remote
2,South America,High,Average,27,53,3,35,Designer,Ecucation,No,Daily,Remote
1,Europe,Medium,Average,47,37,2,30,Software Engineer,Finance,Yes,Weekly,Remote
5,South America,High,Good,41,58,1,5,Marketing,R.,Yes,Daily,O.
2,North America,Low,Poor,33,45,1,6,Project Manager,IT,Yes,None,Remote
4,Oceania,High,Average,35,37,5,25,Marketing,IT,Yes,None,Remote
2,Europe,High,Good,60,22,3,3,Marketing,Consulting,No,Weekly,Remote
9,Africa,High,Average,56,54,1,27,HR,I5,No,None,On.
3,Africa,Medium,Average,28,48,5,17,Project Manager,I.,No,Weekly,Remode
3,Oceania,Low,Poor,22,41,2,16,Data Scientist,Healthcare,No,Weekly,Onsi.
3,North America,Medium,Good,24,30,5,8,Designer,Finance,Yes,Daily,Hybrid
9,Africa,Low,Poor,22,37,2,2,HR,Consulting,No,Weekly,Hybrid
2,Europe,Medium,Average,37,45,5,29,Project Manager,3ducstion,No,Weekly,Remote
2,Africa,Medium,Poor,32,58,3,10,Marketing,Educqt7on,No,Weekly,Hybrid
3,Africa,High,Good,51,29,5,14,Software Engineer,IT,Yes,Weekly,
2,South America,High,Good,60,35,4,20,Software Engineer,,No,Weekly,Remo.
1,Africa,High,Good,27,22,4,15,Software Engineer,Education,No,Weekly,Onsite
4,South America,Medium,Good,44,44,1,18,Software Engineer,Retail,No,None,Hybrid
3,South America,Medium,Poor,48,31,3,22,Designer,Healthkare,Yes,Daily,Hybrit
6,North America,Medium,Poor,58,42,5,35,Project Manager,,No,None,Remote
3,Africa,High,Poor,27,30,1,5,Data Scientist,,No,None,H.
3,North America,Medium,Average,22,28,3,3,Project Manager,Redail,No,Daily,Rrmote
7,South America,Medium,Good,50,55,1,28,Project Manager,Healthcare,Yes,Daily,
1,Africa,High,Poor,39,42,5,1,HR,Manufacturing,Yes,None,Onsite
8,Asia,Medium,Good,20,46,4,29,Project Manager,F.,Yes,Daily,Remote
3,Africa,Low,Poor,36,27,3,22,Software Engineer,IT,Yes,Weekly,Remota
2,Oceania,High,Average,60,58,2,22,Sales,,Yes,None,Hybrid
3,Europe,High,Average,55,35,5,25,Marketing,Healthcare,No,Weekly,Onsite
3,North America,Medium,Average,41,43,5,2,Marketing,Education,Yes,Daily,Onsite
8,Oceania,Medium,Average,38,23,1,21,Data Scientist,Manufac5uring,No,None,Onsite
4,Oceania,Low,Poor,56,22,1,23,Data Scientist,Consulting,Yes,Weekly,Onsite
5,Asia,Low,Poor,54,30,3,35,Software Engineer,,No,Weekly,
1,Oceania,High,Average,23,47,2,29,Software Engineer,Manufacturing,Yes,Weekly,Hybrid
5,South America,High,Poor,46,54,2,5,Software Engineer,Education,No,Weekly,Remote
1,South America,High,Average,46,47,3,13,Project Manager,Healthc.,Yes,Weekly,Hybrid
3,South America,Medium,Good,59,52,5,16,Designer,Educagion,Yes,None,Remote
1,Africa,Medium,Poor,42,32,4,35,HR,I.,Yes,Daily,Hybrid
3,Africa,High,Good,55,33,2,18,Data Scientist,,Yes,Weekly,Remote
10,Africa,High,Good,37,35,2,6,Sales,Health.,No,Daily,Knzite
2,South America,Medium,Average,31,60,3,24,HR,Consulting,No,None,Onsi6e
2,Africa,Medium,Good,38,46,1,18,Project Manager,Healthcare,No,Daily,Onsite
5,Asia,Low,Good,46,57,1,13,Marketing,H.,No,Daily,Onsite
1,South America,Medium,Average,46,40,1,31,Sales,Finance,No,Daily,
9,Asia,High,Good,43,36,2,29,Software Engineer,I.,Yes,None,Rejite
3,South America,High,Good,38,56,1,31,Sales,Fina.,Yes,Daily,Remote
2,Oceania,Low,Poor,47,33,1,1,Data Scientist,Vinance,No,None,Onsite
10,South America,High,Good,27,51,5,22,Marketing,Edycation,No,None,Hybrid
1,Africa,Medium,Good,49,40,5,15,Data Scientist,Manufacturing,No,Daily,Hybrid
3,North America,High,Good,33,28,4,10,Designer,Financa,Yes,Daily,R.
1,Oceania,High,Good,42,26,5,25,Designer,,No,Weekly,Onsi.
5,Europe,Medium,Poor,59,39,4,20,Data Scientist,Retail,Yes,Daily,Hybrid
3,North America,High,Good,28,23,5,26,Designer,Finance,Yes,Daily,H5brjd
9,Europe,Medium,Poor,49,30,3,11,HR,Healthcare,No,None,H7br7d
2,Oceania,Low,Average,28,41,1,18,Designer,Finahc2,No,Daily,Onsita
9,Africa,Low,Poor,56,47,2,15,HR,Manufacturing,Yes,None,Onsite
1,North America,Medium,Good,35,44,1,25,Data Scientist,,No,Daily,Onsite
9,South America,Low,Good,42,48,4,18,Designer,Consulting,No,Daily,Onsite
3,Europe,Medium,Average,34,35,5,12,HR,Education,Yes,Daily,Hybrid
5,Oceania,High,Average,22,37,5,33,Sales,Finance,No,Daily,Hybrid
8,South America,Medium,Average,38,37,1,16,HR,Manufacturing,Yes,Daily,Onsite
8,South America,Medium,Average,47,49,5,31,Designer,Manufacturing,Yes,None,Remote
5,Europe,High,Average,42,52,3,31,Data Scientist,Finance,Yes,Daily,Remote
2,Asia,Low,Good,39,22,4,28,HR,Healthcare,No,None,Remote
2,Europe,High,Average,41,34,4,13,HR,Healthcare,No,None,Hybrid
8,Europe,Low,Poor,29,44,3,17,Sales,Manufacturing,No,Daily,Remote
5,South America,Medium,Good,51,26,5,9,Marketing,Healthcare,Yes,None,Onsite
5,Africa,Medium,Poor,53,39,4,21,Data Scientist,Retail,No,Daily,Onsute
2,Oceania,Low,Good,27,50,5,5,Marketing,Education,No,None,Hybrid
5,North America,Low,Average,46,53,5,4,HR,Education,No,None,Onsite
2,North America,Medium,Good,48,40,3,28,Designer,Finance,No,None,Onsite
5,Europe,Low,Average,36,52,1,5,HR,,Yes,Weekly,Onsite
1,Asia,Medium,Average,21,24,1,1,Data Scientist,Consulting,No,None,Remote
2,Africa,Medium,Poor,59,50,1,31,Sales,Manufacturing,No,Daily,
5,Europe,Medium,Poor,25,33,2,26,Project Manager,,No,Daily,Hybrid
2,Oceania,Medium,Poor,23,32,2,28,Designer,Education,Yes,Weekly,Hybrid
4,Africa,Low,Average,59,40,3,16,Sales,Edu.,No,None,Hybrid
5,Asia,Low,Poor,49,39,2,6,Project Manager,Retail,No,Daily,Onsite
3,Europe,High,Poor,37,59,2,9,Project Manager,Healthcare,Yes,Weekly,Onsite
5,Africa,Low,Average,54,53,5,33,Designer,Manufacturing,Yes,Daily,Hyb.
3,Oceania,High,Poor,27,34,5,5,Data Scientist,Finance,No,Daily,Remote
1,Oceania,High,Poor,51,58,4,21,Data Scientist,Education,Yes,Weekly,Hybrid
3,North America,Low,Good,46,40,2,18,Marketing,Manufacturing,Yes,Daily,Remote
2,Oceania,Medium,Good,31,49,5,13,Marketing,Retail,Yes,Weekly,H5grid
5,North America,Low,Poor,22,42,4,20,Data Scientist,Consulting,No,None,Remote
3,North America,Medium,Average,31,22,1,2,Software Engineer,Consulting,Yes,Daily,Onsite
9,Africa,Low,Poor,49,51,5,33,Marketing,Retail,Yes,None,Onsite
5,Oceania,Medium,Poor,52,34,2,35,HR,Manufacturing,No,None,R.
5,Europe,Low,Poor,30,56,3,17,Data Scientist,I.,No,Daily,Remote
4,Asia,Medium,Average,54,59,5,32,Designer,IT,Yes,Weekly,
6,South America,Medium,Average,49,49,5,4,Designer,Education,Yes,Daily,Onsite
1,Oceania,Medium,Average,47,33,4,32,Project Manager,Manufacturing,No,Daily,Remote
8,Asia,High,Poor,22,52,1,22,Marketing,YT,Yes,Daily,Remote
4,Europe,Medium,Poor,39,52,5,30,Software Engineer,Manufacturing,Yes,Weekly,Hybrid
5,South America,Low,Poor,35,24,3,4,Data Scientist,Manufacturing,No,None,Onsite
9,Europe,High,Good,24,27,5,29,Software Engineer,Manufacturing,Yes,Daily,Ogsote
5,North America,High,Average,53,25,5,19,Marketing,Healthcare,No,Daily,
8,Africa,Low,Average,48,53,2,30,Software Engineer,,No,Daily,Onsite
4,Asia,High,Good,40,39,5,12,Marketing,,Yes,Daily,Onsite
8,South America,High,Poor,58,50,5,20,Sales,,Yes,Weekly,Onsite
3,Africa,Low,Poor,36,56,1,18,Marketing,Education,No,Weekly,Hybrid
3,South America,Medium,Poor,28,33,4,15,Marketing,Retail,Yes,None,Onsite
1,Oceania,High,Average,59,35,2,10,Sales,Consulting,No,None,H.
5,North America,High,Good,34,49,1,24,Marketing,Yealttcare,Yes,None,Remote
3,Oceania,Medium,Good,30,23,1,15,Software Engineer,,Yes,Weekly,Onside
4,Europe,Medium,Average,43,48,1,35,Designer,Retail,Yes,Daily,Onsite
2,Europe,Medium,Poor,26,31,5,26,Marketing,,No,Weekly,Hybrid
3,Asia,Medium,Average,21,52,5,7,Data Scientist,Retail,Yes,Weekly,Hybrid
4,North America,Low,Poor,52,51,3,4,Data Scientist,Manufacturing,Yes,Weekly,Hybrid
9,Africa,High,Good,52,43,4,29,Data Scientist,Manufacturing,No,Weekly,
2,South America,High,Average,24,53,4,26,Designer,Finan.,Yes,Weekly,Remote
5,South America,Low,Good,38,36,2,9,HR,Finance,No,Weekly,Onsite
2,Oceania,Medium,Poor,50,24,5,23,HR,Fynance,Yes,None,Hybrid
1,Africa,Medium,Poor,36,45,4,24,Designer,Manufacturing,No,Daily,Hybrid
2,Asia,High,Average,56,28,1,15,Data Scientist,Healthcare,No,None,Hybrid
4,Europe,Low,Good,42,35,3,9,Sales,Education,No,Weekly,Onsite
3,South America,High,Poor,57,55,2,34,Sales,Manufacturing,Yes,Weekly,Hybrid
1,Asia,High,Poor,26,32,1,15,Project Manager,Healthcare,Yes,Daily,On.
7,Asia,Medium,Good,46,22,3,26,Marketing,Consulting,No,Daily,Ohsite
8,Oceania,Medium,Poor,26,34,5,19,Software Engineer,IT,No,Daily,Onsife
3,Oceania,High,Good,32,29,1,28,Project Manager,IT,Yes,None,Remote
10,South America,Low,Good,33,29,2,25,Project Manager,Finance,No,Weekly,Onsite
7,Oceania,Medium,Good,46,31,4,27,Data Scientist,Manufacturing,No,None,Hubrid
8,Europe,High,Poor,31,49,5,26,Sales,Education,Yes,Weekly,Onsite
9,Africa,Medium,Good,38,25,4,7,Sales,Retail,Yes,None,Hybrid
0,Africa,Medium,Poor,45,52,5,6,Software Engineer,Retqll,Yes,None,Hybrid
4,Asia,High,Poor,30,47,2,22,HR,Consukting,Yes,Weekly,Hybrid
2,Europe,Medium,Good,35,25,5,32,Software Engineer,Consulting,Yes,None,Hybrid
4,Europe,Low,Average,28,48,2,22,HR,Ed.,Yes,Weekly,Remote
2,Oceania,High,Average,45,44,4,19,HR,,No,Daily,
10,North America,Medium,Average,36,53,4,12,Designer,Education,Yes,Daily,Remote
3,Asia,Low,Good,34,36,5,12,Data Scientist,Manufacturing,Yes,Daily,Remote
5,Europe,High,Good,20,40,1,16,Software Engineer,Healthcare,No,Weekly,Remote
3,Asia,Low,Good,37,33,2,25,Data Scientist,Conzulting,No,Weekly,Remote
7,Europe,High,Poor,36,43,1,4,Designer,Education,Yes,Daily,Hybrid
4,Asia,Medium,Poor,32,41,5,35,HR,Manufacturkng,Yes,Weekly,Tybrid
2,Europe,Low,Average,35,53,5,23,Designer,Retail,No,Daily,Onsite
9,North America,High,Poor,49,59,2,30,Data Scientist,Finance,No,None,Hybryd
4,North America,Low,Good,50,27,3,33,Sales,Finance,No,Daily,Hybrid
1,North America,High,Average,57,42,4,9,Sales,Education,No,Daily,Hyprid
4,Africa,Medium,Poor,59,46,5,23,HR,Finanke,Yes,None,
2,South America,Medium,Poor,44,47,4,32,Designer,Finance,No,None,
3,South America,Medium,Poor,55,34,1,17,HR,Aducation,Yes,None,Hybrjf
4,North America,Low,Average,45,50,5,3,Data Scientist,Re.,Yes,None,Remote
2,South America,Medium,Good,53,28,1,33,Software Engineer,IT,No,None,Onsita
5,Europe,High,Average,24,45,5,9,Sales,IT,Yes,Weekly,Hybrid
5,South America,High,Good,36,40,3,8,Designer,Aducation,No,Daily,
1,Asia,Medium,Average,37,35,4,33,Sales,Consulting,Yes,None,Hybrid
2,Oceania,Medium,Average,55,32,4,29,Project Manager,,Yes,Weekly,0nsite
1,North America,High,Good,29,45,1,29,Software Engineer,Kanufacturing,No,None,Onsite
4,Oceania,High,Poor,42,22,5,9,Project Manager,Manuvacturing,No,None,Remota
1,South America,Low,Average,35,44,2,35,Marketing,Consulding,Yes,None,
3,Oceania,High,Average,26,54,2,34,Project Manager,Aducation,No,None,Onsite
1,Europe,Medium,Good,36,52,3,16,Software Engineer,IT,No,None,Remote
3,Europe,High,Good,35,35,3,2,Data Scientist,1T,No,Weekly,Remote
2,Asia,Low,Poor,28,35,2,34,Designer,Manufacturing,Yes,Weekly,Remote
1,Oceania,High,Good,47,51,2,6,Data Scientist,Retail,Yes,Weekly,
8,South America,Medium,Good,52,41,4,17,Marketing,Healthcare,No,Daily,Onsyte
4,Africa,Medium,Poor,55,26,2,12,Software Engineer,Consulting,Yes,Daily,Hyb.
5,Africa,Medium,Average,26,29,2,10,Marketing,IT,No,Weekly,Remote
3,Africa,Low,Good,32,27,2,20,Sales,Hwaltgcare,No,Weekly,Onsite
6,Asia,Low,Average,26,39,2,24,Sales,Retail,Yes,None,Hybrid
8,Europe,Low,Average,36,29,1,9,Software Engineer,Retail,No,Weekly,Hybrid
3,South America,Medium,Poor,37,28,4,2,HR,Consulting,Yes,Weekly,Femoye
4,South America,Medium,Good,55,48,1,26,Designer,Retail,Yes,Weekly,Onsite
5,Europe,Low,Good,46,22,4,24,Sales,Manufa.,No,Daily,Hybrid
3,Asia,Low,Average,21,38,2,19,Project Manager,Finance,No,None,Hybrid
1,Europe,Medium,Poor,47,34,3,21,Data Scientist,Manufacturing,Yes,Weekly,Remota
8,Oceania,Low,Average,33,36,3,34,Data Scientist,,Yes,Weekly,
3,Africa,Medium,Good,48,47,3,30,HR,Retail,Yes,Daily,
9,Oceania,Low,Average,47,41,4,7,Project Manager,IT,Yes,Daily,0nsite
9,Africa,Low,Poor,37,42,2,19,Sales,Healthfage,Yes,Weekly,Onsite
1,South America,Medium,Poor,28,22,5,11,Sales,Manufacturing,No,Weekly,Hybrid
9,Africa,Medium,Poor,31,48,1,24,HR,IT,No,Weekly,Hybrid
9,Asia,High,Average,56,28,5,27,HR,,No,Daily,0nsite
2,North America,High,Good,50,22,3,6,Sales,IT,No,Daily,Remote
2,Oceania,Low,Average,59,58,1,28,HR,IT,Yes,Daily,Hybrid
5,Oceania,High,Good,53,37,1,6,Data Scientist,Finance,No,Weekly,Hybrid
3,North America,High,Average,48,58,2,2,Data Scientist,Consulyigg,No,Daily,Remote
3,Europe,Low,Poor,45,47,4,23,Designer,Consulting,No,Daily,Onsite
5,South America,Low,Poor,46,40,1,12,Sales,IT,No,None,Remote
1,Oceania,Low,Poor,28,54,1,28,Sales,Consulting,Yes,None,Onsite
1,Oceania,Low,Good,50,54,1,22,Sales,Retail,No,None,0nsite
10,North America,Medium,Good,21,34,4,10,Project Manager,Education,Yes,Daily,Hybrid
5,Africa,Medium,Good,40,49,4,6,Software Engineer,Manufacturing,Yes,None,Remote
3,Africa,High,Good,32,53,4,17,Data Scientist,Manufacturing,No,Weekly,
2,Oceania,High,Average,54,38,3,15,Designer,Education,Yes,Weekly,R.
7,South America,Low,Average,30,47,2,22,Data Scientist,Educetion,Yes,Daily,Hybrid
1,Africa,High,Poor,48,41,4,6,Project Manager,IT,Yes,Weekly,Onsite
3,Africa,Low,Good,33,54,4,5,Sales,Con.,Yes,None,Onsite
4,Oceania,High,Poor,23,22,5,3,Project Manager,Consulting,No,None,Hybrit
1,Europe,High,Average,38,47,1,2,HR,Education,No,Daily,Onsite
1,Asia,Medium,Good,23,58,4,31,Designer,Retail,Yes,Daily,Remote
